Days,Effective Precipitation (mm/day),Evapotranspiration (mm/day),Actual Evapotranspiration (mm/day),Storage (mm),Runoff (mm/day),Runoff in Area (m^3/day)
596,23.100000,29.835000,2.441900,267.781097,0.267082,276242.975878
597,21.400000,20.943000,2.762593,269.426204,0.479361,495802.986117
598,1.800000,31.473000,5.503779,268.862600,0.801167,828646.997685
599,0.000000,36.270000,5.970715,268.225503,0.637097,658949.034330
600,0.700000,17.199000,2.564097,267.847241,0.456898,472569.641890
601,0.000000,23.283000,3.353440,267.579694,0.333683,345128.346692
602,0.000000,13.104000,1.773032,267.312115,0.267580,276757.677706
603,0.000000,28.899000,3.776857,267.044802,0.267312,276480.920029
604,0.000000,23.166000,2.799961,266.777758,0.267045,276204.439109
605,11.600000,25.038000,2.843822,267.051058,0.266778,275928.234670
606,0.000000,23.049000,3.083630,266.694469,0.385328,398544.893725
607,0.600000,18.369000,2.310140,266.427774,0.266694,275842.089128
608,7.500000,17.784000,2.154814,266.394677,0.266428,275566.247039
609,0.900000,23.166000,3.087911,266.128516,0.317494,328384.189406
610,0.000000,19.890000,2.533342,265.862388,0.266129,275256.724242
611,0.000000,26.793000,3.235963,265.596525,0.265862,274981.467517
612,0.000000,24.336000,2.734324,265.330929,0.265597,274706.486050
613,0.000000,15.561000,1.637688,265.065598,0.265331,274431.779564
614,0.000000,27.846000,2.811950,264.800532,0.265066,274157.347784
615,0.000000,31.590000,2.958913,264.535732,0.264801,273883.190436
616,2.500000,15.093000,1.297511,264.271196,0.264536,273609.307246
617,0.600000,16.614000,1.473284,264.006925,0.264271,273335.697939
618,0.000000,9.828000,0.848170,263.742918,0.264007,273062.362241
619,0.000000,19.422000,1.633287,263.479175,0.263743,272789.299879
620,0.000000,26.325000,2.101926,263.215696,0.263479,272516.510579
621,0.000000,22.698000,1.688198,262.952480,0.263216,272243.994068
622,0.000000,34.515000,2.415505,262.689528,0.262952,271971.750074
623,4.800000,27.027000,1.721609,262.426838,0.262690,271699.778324
624,0.900000,17.316000,1.231419,262.164411,0.262427,271428.078546
